Date,AGG,DBC,VTI,^VIX
2016-07-20,91.65687561035156,13.504409790039062,96.98141479492188,11.770000457763672
2016-07-21,91.73848724365234,13.430767059326172,96.5977554321289,12.739999771118164
2016-07-22,91.7547378540039,13.403149604797363,97.05987548828125,12.020000457763672
2016-07-25,91.64875030517578,13.25586223602295,96.80702209472656,12.869999885559082
2016-07-26,91.64875030517578,13.200630187988281,96.91165924072266,13.050000190734863
2016-07-27,91.91780090332031,13.07175350189209,96.79828643798828,12.829999923706055
2016-07-28,91.90966796875,13.034931182861328,96.92037200927734,12.720000267028809
2016-07-29,92.15428924560547,13.145397186279297,97.14705657958984,11.869999885559082
2016-08-01,91.93941497802734,12.915260314941406,97.0162582397461,12.4399995803833
2016-08-02,91.66987609863281,12.8968505859375,96.28388214111328,13.369999885559082
2016-08-03,91.76789855957031,13.108573913574219,96.64137268066406,12.859999656677246
2016-08-04,91.93941497802734,13.16380786895752,96.75471496582031,12.420000076293945
2016-08-05,91.62904357910156,13.219040870666504,97.55686950683594,11.390000343322754
2016-08-08,91.68618774414062,13.292683601379395,97.49579620361328,11.5
2016-08-09,91.92305755615234,13.25586223602295,97.5830078125,11.65999984741211
2016-08-10,92.02931213378906,13.099369049072266,97.29527282714844,12.050000190734863
2016-08-11,91.78422546386719,13.30189037322998,97.7835464477539,11.680000305175781
2016-08-12,92.00479888916016,13.403149604797363,97.68765258789062,11.550000190734863
2016-08-15,91.84137725830078,13.624080657958984,98.04511260986328,11.8100004196167
2016-08-16,91.78422546386719,13.734546661376953,97.48709869384766,12.640000343322754
2016-08-17,91.95576477050781,13.789778709411621,97.60917663574219,12.1899995803833
2016-08-18,92.08645629882812,13.964682579040527,97.91433715820312,11.430000305175781
2016-08-19,91.88224029541016,13.918655395507812,97.77484130859375,11.34000015258789
2016-08-22,92.0211410522461,13.789778709411621,97.80098724365234,12.270000457763672
2016-08-23,92.04562377929688,13.845011711120605,98.06253814697266,12.380000114440918
2016-08-24,92.01299285888672,13.679313659667969,97.51326751708984,13.449999809265137
2016-08-25,91.91495513916016,13.734546661376953,97.45223236083984,13.630000114440918
2016-08-26,91.76789855957031,13.688518524169922,97.25167846679688,13.649999618530273
2016-08-29,92.0211410522461,13.633286476135254,97.7835464477539,12.9399995803833
2016-08-30,91.97209930419922,13.504409790039062,97.6266098022461,13.119999885559082
2016-08-31,91.95576477050781,13.246658325195312,97.34761047363281,13.420000076293945
2016-09-01,92.03597259521484,13.099369049072266,97.39991760253906,13.479999542236328
2016-09-02,91.91322326660156,13.246658325195312,97.89690399169922,11.979999542236328
2016-09-06,92.109619140625,13.33871078491211,98.17591857910156,12.020000457763672
2016-09-07,92.15872955322266,13.458381652832031,98.30670166015625,11.9399995803833
2016-09-08,91.839599609375,13.697724342346191,98.05384826660156,12.510000228881836
2016-09-09,91.43853759765625,13.48599910736084,95.6125259399414,17.5
2016-09-12,91.5122299194336,13.48599910736084,96.94651794433594,15.15999984741211
2016-09-13,91.25849914550781,13.311095237731934,95.42989349365234,17.850000381469727
2016-09-14,91.37303924560547,13.209835052490234,95.43866729736328,18.139999389648438
2016-09-15,91.43037414550781,13.274272918701172,96.41998291015625,16.299999237060547
2016-09-16,91.49583435058594,13.292683601379395,96.03445434570312,15.369999885559082
2016-09-19,91.4222183227539,13.283479690551758,96.17462158203125,15.529999732971191
2016-09-20,91.4549331665039,13.329505920410156,96.1308364868164,15.920000076293945
2016-09-21,91.68407440185547,13.495203971862793,97.23478698730469,13.300000190734863
2016-09-22,91.87230682373047,13.56884765625,97.9444580078125,12.020000457763672
2016-09-23,91.8477554321289,13.412355422973633,97.38372802734375,12.289999961853027
2016-09-26,91.96236419677734,13.504409790039062,96.61272430419922,14.5
2016-09-27,92.07688903808594,13.375533103942871,97.16470336914062,13.100000381469727
2016-09-28,92.10144805908203,13.688518524169922,97.73419952392578,12.390000343322754
2016-09-29,92.10144805908203,13.771368980407715,96.77918243408203,14.020000457763672
2016-09-30,92.00325775146484,13.81739616394043,97.54141998291016,13.289999961853027
2016-10-03,91.89915466308594,13.937067031860352,97.24353790283203,13.569999694824219
2016-10-04,91.58757781982422,13.900245666503906,96.80546569824219,13.630000114440918
2016-10-05,91.46456909179688,13.98309326171875,97.18220520019531,12.989999771118164
2016-10-06,91.46456909179688,14.010710716247559,97.21725463867188,12.84000015258789
2016-10-07,91.48096466064453,13.973889350891113,96.84928131103516,13.479999542236328
2016-10-10,91.43997955322266,14.13038158416748,97.37496948242188,13.380000114440918
2016-10-11,91.3006362915039,14.047531127929688,96.0782699584961,15.359999656677246
2016-10-12,91.33342742919922,13.946271896362305,96.19218444824219,15.90999984741211
2016-10-13,91.46456909179688,14.03832721710205,95.85047149658203,16.690000534057617
2016-10-14,91.3088150024414,14.047531127929688,95.8241958618164,16.1200008392334
2016-10-17,91.46456909179688,14.065942764282227,95.55257415771484,16.209999084472656
2016-10-18,91.61215209960938,14.093559265136719,96.11331939697266,15.279999732971191
2016-10-19,91.66136169433594,14.185614585876465,96.41998291015625,14.40999984741211
2016-10-20,91.62857055664062,14.056737899780273,96.23596954345703,13.75
2016-10-21,91.68595123291016,14.111969947814941,96.20093536376953,13.34000015258789
2016-10-24,91.54658508300781,14.121176719665527,96.6828384399414,13.020000457763672
2016-10-25,91.54658508300781,14.056737899780273,96.27099609375,13.460000038146973
2016-10-26,91.36624145507812,13.964682579040527,95.98190307617188,14.239999771118164
2016-10-27,91.13667297363281,14.047531127929688,95.6577377319336,15.359999656677246
2016-10-28,91.13667297363281,13.955477714538574,95.34231567382812,16.190000534057617
2016-10-31,91.25142669677734,13.771368980407715,95.40364837646484,17.059999465942383
2016-11-01,91.20214080810547,13.835806846618652,94.69398498535156,18.559999465942383
2016-11-02,91.3089599609375,13.670108795166016,94.0368423461914,19.31999969482422
2016-11-03,91.18575286865234,13.624080657958984,93.62506103515625,22.079999923706055
2016-11-04,91.37464904785156,13.532026290893555,93.563720703125,22.510000228881836
2016-11-07,91.26786041259766,13.587259292602539,95.63143157958984,18.709999084472656
2016-11-08,91.11996459960938,13.56884765625,96.0432357788086,18.739999771118164
2016-11-09,90.27391815185547,13.633286476135254,97.23478698730469,14.380000114440918
2016-11-10,89.90431213378906,13.522820472717285,97.57646179199219,14.739999771118164
2016-11-11,89.739990234375,13.265068054199219,97.61151885986328,14.170000076293945
2016-11-14,89.37859344482422,13.237451553344727,97.8656005859375,14.479999542236328
2016-11-15,89.44429779052734,13.532026290893555,98.62784576416016,13.369999885559082
2016-11-16,89.64144897460938,13.366329193115234,98.48766326904297,13.720000267028809
2016-11-17,89.3046646118164,13.393943786621094,98.98706817626953,13.350000381469727
2016-11-18,89.01715850830078,13.504409790039062,98.80310821533203,12.850000381469727
2016-11-21,89.09112548828125,13.881834030151367,99.54780578613281,12.420000076293945
2016-11-22,89.17325592041016,13.863422393798828,99.8369369506836,12.40999984741211
2016-11-23,88.86107635498047,13.918655395507812,99.97712707519531,12.430000305175781
2016-11-25,88.8528823852539,13.81739616394043,100.36261749267578,12.34000015258789
2016-11-28,89.16500091552734,13.863422393798828,99.78438568115234,13.149999618530273
2016-11-29,89.26360321044922,13.587259292602539,99.92454528808594,12.899999618530273
2016-11-30,88.91033935546875,14.001505851745605,99.68798828125,13.329999923706055
2016-12-01,88.61737060546875,14.259257316589355,99.2762222290039,14.069999694824219
2016-12-02,88.89720916748047,14.360518455505371,99.2762222290039,14.119999885559082
2016-12-05,88.9712905883789,14.434162139892578,99.96835327148438,12.140000343322754
2016-12-06,88.95481872558594,14.36972427368164,100.47652435302734,11.789999961853027
2016-12-07,89.18523406982422,14.259257316589355,101.72064971923828,12.220000267028809
2016-12-08,89.02064514160156,14.286874771118164,102.08865356445312,12.640000343322754
2016-12-09,88.7490234375,14.360518455505371,102.64058685302734,11.75
2016-12-12,88.66676330566406,14.452571868896484,102.37775421142578,12.640000343322754
2016-12-13,88.78199768066406,14.489394187927246,102.97354125976562,12.720000267028809
2016-12-14,88.29644012451172,14.351312637329102,102.04481506347656,13.1899995803833
2016-12-15,88.18946838378906,14.332901000976562,102.46537017822266,12.789999961853027
2016-12-16,88.2470703125,14.397339820861816,102.30767059326172,12.199999809265137
2016-12-19,88.47749328613281,14.31449031829834,102.59678649902344,11.710000038146973
2016-12-20,88.39518737792969,14.378928184509277,103.03496551513672,11.449999809265137
2016-12-21,88.58448791503906,14.296079635620117,102.7440185546875,11.270000457763672
2016-12-22,88.58365631103516,14.277667999267578,102.47953033447266,11.430000305175781
2016-12-23,88.60838317871094,14.305285453796387,102.63822174072266,11.4399995803833
2016-12-27,88.54239654541016,14.526216506958008,102.89388275146484,11.989999771118164
2016-12-28,88.68267059326172,14.535421371459961,102.03874206542969,12.949999809265137
2016-12-29,88.95481872558594,14.5538330078125,102.04756164550781,13.369999885559082
2016-12-30,89.13633728027344,14.581449508666992,101.66844940185547,14.039999961853027
2017-01-03,89.22703552246094,14.40654468536377,102.44428253173828,12.850000381469727
2017-01-04,89.2518310546875,14.517010688781738,103.22891235351562,11.850000381469727
2017-01-05,89.62299346923828,14.590655326843262,103.02616882324219,11.670000076293945
2017-01-06,89.32604217529297,14.572242736816406,103.35232543945312,11.319999694824219
2017-01-09,89.47452545166016,14.351312637329102,102.95562744140625,11.5600004196167
2017-01-10,89.44979858398438,14.286874771118164,103.03496551513672,11.489999771118164
2017-01-11,89.55704498291016,14.443366050720215,103.36116027832031,11.260000228881836
2017-01-12,89.59001159667969,14.6550931930542,103.08786010742188,11.539999961853027
2017-01-13,89.43327331542969,14.627476692199707,103.3435287475586,11.229999542236328
2017-01-17,89.7385025024414,14.618269920349121,102.88507843017578,11.869999885559082
2017-01-18,89.35075378417969,14.489394187927246,103.12311553955078,12.479999542236328
2017-01-19,89.1198501586914,14.443366050720215,102.71760559082031,12.779999732971191
2017-01-20,89.15283966064453,14.609065055847168,103.07023620605469,11.539999961853027
2017-01-23,89.4002685546875,14.609065055847168,102.79693603515625,11.770000457763672
2017-01-24,89.26005554199219,14.64588737487793,103.59920501708984,11.069999694824219
2017-01-25,89.02084350585938,14.5538330078125,104.4896469116211,10.8100004196167
2017-01-26,89.07860565185547,14.618269920349121,104.33976745605469,10.630000114440918
2017-01-27,89.15283966064453,14.498600006103516,104.17224884033203,10.579999923706055
2017-01-30,89.1115493774414,14.415750503540039,103.46694946289062,11.880000114440918
2017-01-31,89.32604217529297,14.498600006103516,103.55510711669922,11.989999771118164
2017-02-01,89.2004165649414,14.6550931930542,103.54629516601562,11.8100004196167
2017-02-02,89.24998474121094,14.6550931930542,103.61681365966797,11.930000305175781
2017-02-03,89.2747802734375,14.64588737487793,104.40148162841797,10.970000267028809
2017-02-06,89.53099822998047,14.5538330078125,104.15463256835938,11.369999885559082
2017-02-07,89.6219253540039,14.489394187927246,104.14580535888672,11.289999961853027
2017-02-08,89.8781509399414,14.54462718963623,104.26042175292969,11.449999809265137
2017-02-09,89.66327667236328,14.618269920349121,104.94808197021484,10.880000114440918
2017-02-10,89.64673614501953,14.774763107299805,105.38887786865234,10.850000381469727
2017-02-13,89.51448822021484,14.609065055847168,105.91785430908203,11.069999694824219
2017-02-14,89.31613159179688,14.627476692199707,106.30577087402344,10.739999771118164
2017-02-15,89.17564392089844,14.64588737487793,106.88764190673828,11.970000267028809
2017-02-16,89.36572265625,14.5538330078125,106.7906723022461,11.760000228881836
2017-02-17,89.56407928466797,14.526216506958008,106.94935607910156,11.489999771118164
2017-02-21,89.5558090209961,14.507804870605469,107.58411407470703,11.569999694824219
2017-02-22,89.61366271972656,14.434162139892578,107.44306945800781,11.739999771118164
2017-02-23,89.7624282836914,14.480188369750977,107.36371612548828,11.710000038146973
2017-02-24,90.09307861328125,14.452571868896484,107.54007720947266,11.470000267028809
2017-02-27,89.92776489257812,14.415750503540039,107.77808380126953,12.09000015258789
2017-02-28,89.9029541015625,14.47098445892334,107.38135528564453,12.920000076293945
2017-03-01,89.4806137084961,14.535421371459961,108.82721710205078,12.539999961853027
2017-03-02,89.31491088867188,14.305285453796387,108.13072967529297,11.8100004196167
2017-03-03,89.38121032714844,14.378928184509277,108.21887969970703,10.960000038146973
2017-03-06,89.33977508544922,14.360518455505371,107.79571533203125,11.239999771118164
2017-03-07,89.22380828857422,14.296079635620117,107.4518814086914,11.449999809265137
2017-03-08,89.00847625732422,13.973889350891113,107.15213775634766,11.859999656677246
2017-03-09,88.73518371582031,13.854217529296875,107.20501708984375,12.300000190734863
2017-03-10,88.86769104003906,13.725340843200684,107.59294128417969,11.65999984741211
2017-03-13,88.71861267089844,13.706930160522461,107.67230224609375,11.350000381469727
2017-03-14,88.75174713134766,13.651698112487793,107.28437042236328,12.300000190734863
2017-03-15,89.26522827148438,13.771368980407715,108.25415802001953,11.630000114440918
2017-03-16,89.16587829589844,13.75295639038086,108.12191772460938,11.210000038146973
2017-03-17,89.35636138916016,13.79898452758789,108.06021118164062,11.279999732971191
2017-03-20,89.48886108398438,13.789778709411621,107.80452728271484,11.34000015258789
